ID,Tenure in Nuvemshop in months,Monthly Sales,Employee Count,Current plan id,Estimated Page Views,Rank - Domain,Product Count - Domain,Estimated Sales - Domain,Combined Followers,Number of technologies,Avg Total Users,Avg - Total Visits,Avg - Average Bounce Rate,Avg - Average Time On Site,Avg - Average Pages Per Visit,Avg - real visits,Followers,Posts,Semrush Rank,Organic Keywords,Organic Traffic,Adwords Keywords,Adwords Traffic,PLA keywords,Average ticket value
1269,11.88559999,"39,413.73",,55,8812,2453525,31,"32,962.40",495,6,1709,1712,0.1,57,5,158,41709,166,,,,,,,320.98
1270,11.30150015,"26,301.36",,55,2951,1509631,220,"14,721.59",,8,5240,5240,1,0,1,5162,28363,2922,,,,,,,295.61
1271,12.94552419,"37,682.27",,56,64,6430060,,644.74,,1,,,,,,,30495,5496,,,,,,,369.84
1272,13.18536962,"27,103.50",,55,409,2106034,6,"4,083.36",,3,418,1076,0,466,56,,99674,1449,,,,,,,760.11
1273,11.40375485,"24,046.24",,52,5063,2434769,39,"22,095.82",,7,1,2,0.8,4,5,1,,,,,,,,,719.01
1274,12.83694034,"20,438.60",,55,237,3118686,309,"2,364.05",,7,,,,,,,5120,143,,,,,,,429.06
1275,12.39432422,"26,189.56",,55,,,,,,,,,,,,,,,,,,,,,272.08
1276,13.65403786,"20,466.87",,55,4093,2941116,2,"17,864.70",,3,635,2057,0.4,37,2,856,12145,238,,,,,,,95.93
1277,12.59416891,"24,827.20",,52,16849,930954,,"52,519.55",1137607,8,21479,26510,0.2,295,13,4327,449879,3579,,,,,,,116.11
1278,14.15583483,"22,520.67",,55,21,10200457,,500,,1,8552,22730,0.1,42,6,2968,22123,63,,,,,,,264.19
1279,12.87063657,"36,014.31",,55,904,3452502,14,"5,641.48",135800,1,899,899,0.6,1,2,569,189798,4321,,,,,,,387.15
1280,13.32482191,"44,288.54",,55,775,3775834,118,"4,835.55",,1,2,2,0.7,2,2,1,15698,280,,,,,,,275.45
1281,11.19108274,"31,450.38",,55,344,5037478,117,"3,438.62",,6,330,330,0.5,2,3,165,39244,268,,,,,,,163.61
1282,14.45843227,"46,277.53",,56,1378,3434028,197,"8,596.55",,2,,,,,,,76397,3804,,,,,,,437.24
1283,13.45875373,"34,855.60",,55,,,,,,,,,,,,,,,,,,,,,228.7
1284,13.70192316,"44,039.36",,56,1960,1427562,192,"12,223.22",1,6,471,535,0.3,101,4,178,14197,151,,,,,,,80.68
1285,13.72377128,"39,394.38",,55,64,9146766,,644.74,,2,562,562,0,732,2,,61449,1242,,,,,,,797.47
1286,13.72337926,"20,747.28",,52,93835,397024,42,"204,738.95",,6,21601,23004,0.7,176,2,16675,,,,,,,,,1607.28
1287,15.13411962,"25,489.65",,55,5214,3040924,39,"21,128.71",,2,8608,12391,0.3,61,4,4130,79834,1025,,,,,,,184.85
1288,14.65524156,"27,620.71",,56,86,6185937,,859.65,,6,12615,25229,0.5,381,2,12615,36577,105,,,,,,,186.5
1289,14.6721132,"37,697.59",,55,43,9271044,16,500,,7,417,417,0.4,15,2,185,2606,147,,,,,,,177
1290,14.87921035,"43,824.65",,55,1960,1368484,27,"12,223.22",6693,8,1001,2646,0.7,4,5,1793,168652,3693,,,,,,,239.01
1291,14.56347596,"23,670.42",,55,,10981582,,50,,2,,,,,,,,,,,,,,,149.55
1292,15,"38,225.74",,55,409,4503922,133,"4,083.36",524,5,5054,8532,0.5,355,4,4566,11890,21,,,,,,,285.51
1293,15.20746864,"32,640.31",,55,2801,3164517,228,"13,969.39",,6,960,960,1,1,1,960,59037,1901,,,,,,,257.98
1294,15.26193474,"43,923.02",,55,797,2662595,5,"4,969.88",,1,191,191,1,0,1,191,,,,,,,,,975.24
1295,16.53017921,"36,906.41",,55,107,6193741,,"1,074.56",,7,166,166,0.5,26,2,83,13600,443,,,,,,,224.5
1296,16.62594049,"32,632.93",,56,280,5527720,37,"2,793.87",,7,,,,,,,32988,1025,,,,,,,537.62
1297,16.65254107,"27,473.81",,56,754,2615063,5,"4,701.23",,2,11253,33759,0.7,32,1,22507,,,,,,,,,271.07
1298,15.59352748,"22,213.78",,55,20512,2218062,340,"63,936.84",549,8,13144,36559,0.3,122,5,11239,34033,204,,,,,,,161.71
1299,15.15867197,"24,021.91",,55,452,4552249,14,"4,513.18",23,6,6140,6140,0.4,22,3,2326,23275,299,,,,,,,400.07
1300,16.72375,"36,491.82",,55,7239,2617396,1633,"27,079.13",,1,20122,21074,0.8,33,1,16581,329,77,,,,,,,413.3
1301,16.4573682,"29,489.96",,55,603,4477406,19,"3,760.99",,2,,,,,,,44435,2123,,,,,,,130.11
1302,16.49456765,"26,450.82",,55,,,,,,,,,,,,,,,,,,,,,196.49
1303,16.32742832,"25,175.82",,55,430,4338012,,"4,298.27",,3,695,843,0.8,2,2,658,,,,,,,,,271.21
1304,15.56522215,"36,137.40",,55,,12304499,,50,848,6,,,,,,,7995,361,,,,,,,314.1
1305,16.52644265,"20,383.51",,55,107,8749796,1,"1,074.56",,6,,,,,,,19801,481,,,,,,,364.74
1306,16.29848753,"23,548.34",,55,193,4694428,,"1,934.22",,7,1124,1124,0.5,406,3,562,10225,83,,,,,,,337.69
1307,16.78430369,"45,309.65",,56,172,5819809,27,"1,719.31",763,8,554,1032,0.3,306,3,344,69377,1009,,,,,,,191.85
1308,16.52754816,"46,835.20",,55,1443,2149696,151,"8,999.51",,9,150,150,0.5,546,10,75,25097,1108,,,,,,,248.71
1309,15.62650388,"38,408.87",,55,129,5794169,102,"1,289.48",,7,479,808,0.3,286,9,202,20372,1171,,,,,,,260.3
1310,12.070824,"37,623.89",,55,4675,1083978,37,"20,403.37",10,7,23,23,1,0,1,23,29983,777,,,,,,,1230.41
1311,18.10461096,"26,769.28",,55,624,4235571,116,"3,895.31",,4,698,763,0,236,18,34,134351,2046,,,,,,,272.15
1312,16.81389337,"30,197.87",,55,667,5198045,55,"4,163.95",,8,,,,,,,38550,2325,,,,,,,516.71
1313,18.79701725,"33,061.80",,55,29885,653956,297,"83,836.52",,2,1959,1959,0.7,165,3,1386,7692,478,,,,,,,262.06
1314,17.62589456,"22,849.17",,55,,13601126,,,,1,,,,,,,48734,1002,,,,,,,370.61
1315,17.84736298,"43,298.75",,56,6981,1253858,16,"26,112.02",6,5,2482,2879,0.4,176,4,1156,1459,67,,,,,,,685.79
1316,18.00365554,"32,332.57",,55,43,9795336,14,500,,3,,,,,,,4512,92,,,,,,,373.67
1317,19,"31,519.62",,55,1120,4124348,234,"6,984.69",,7,637,2157,0.1,469,57,227,21799,521,,,,,,,200.06
1318,18.00656362,"27,915.00",,55,323,2644011,2,"3,223.70",11800,2,622,908,0.2,247,8,138,93793,761,,,,,,,198.29
1319,15.07699261,"35,660.54",,55,43,8549241,,500,,2,,,,,,,1652,327,,,,,,,1636.13
1320,18.66807161,"32,143.27",,55,1572,2848050,53,"9,805.44",18,7,5053,9552,0.6,93,4,5598,11706,169,,,,,,,288.08
1321,18.3047674,"30,904.92",,55,86,8557191,17,859.65,,2,151,153,0.7,348,2,109,19258,540,,,,,,,185.09
1322,16.95720393,"33,175.81",,56,36887,469677,530,"103,480.98",,7,11308,29690,0.2,296,4,6312,38809,1005,,,,,,,103.93
1323,18.72428166,"27,669.11",,56,991,1893398,2,"6,178.77",,6,867,2934,0.2,124,3,704,9479,396,,,,,,,475.69
1324,19.80844833,"23,589.85",,55,16741,891438,5,"52,183.75",,1,16853,18621,0.2,172,5,3850,,,,,,,,,154.39
